peak_frac,scenario,scenario_label,N_valid,metric,estimate,bootstrap_se,ci_low,ci_high,unit
0.65,S2_High_Conc,High/Concentrated,400,daily_wind_curt_MWh,0.987774743041673,0.512614681674557,0.191027278932562,2.04548465282546,MWh/day
0.65,S2_High_Conc,High/Concentrated,400,daily_vmin,0.987414354661825,0.000295621777825281,0.986874474035561,0.988016673380392,p.u.
0.65,S2_High_Conc,High/Concentrated,400,daily_vmax,1.0599999987109,4.49029756920484e-11,1.05999999862248,1.05999999879542,p.u.
0.65,S2_High_Conc,High/Concentrated,400,daily_vviol_hours,472.8725,1.70780224643424,469.4625,476.2475,bus-hours/day
0.65,S2_High_Conc,High/Concentrated,400,curtailment_trajectory_probability,1.25,0.566404783487494,0.25,2.5,%
0.65,S3_Low_Dist,Low/Distributed,400,daily_cost,1022569.06606796,1003.54968804599,1020501.66751907,1024471.76320988,currency/day
0.65,S3_Low_Dist,Low/Distributed,400,daily_loss_MWh,1194.1726594347,0.787139581335802,1192.61982488124,1195.69203737569,MWh/day
0.65,S3_Low_Dist,Low/Distributed,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.65,S3_Low_Dist,Low/Distributed,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.65,S3_Low_Dist,Low/Distributed,400,daily_vmin,0.989733488468022,1.71489570723261e-05,0.989700721875486,0.989767121662786,p.u.
0.65,S3_Low_Dist,Low/Distributed,400,daily_vmax,1.05999999844501,5.77020059053291e-11,1.05999999833983,1.05999999855951,p.u.
0.65,S3_Low_Dist,Low/Distributed,400,daily_vviol_hours,570.7425,0.512917310889993,569.7125,571.7025,bus-hours/day
0.65,S3_Low_Dist,Low/Distributed,400,curtailment_trajectory_probability,0,0,0,0,%
0.65,S4_High_Dist,High/Distributed,400,daily_cost,978125.010703007,1971.84211222201,974042.1984855,981818.959281674,currency/day
0.65,S4_High_Dist,High/Distributed,400,daily_loss_MWh,1200.27707438576,1.17164640347023,1197.92266528402,1202.63151358675,MWh/day
0.65,S4_High_Dist,High/Distributed,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.65,S4_High_Dist,High/Distributed,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.65,S4_High_Dist,High/Distributed,400,daily_vmin,0.989785578474715,3.86979894491478e-05,0.98971023925469,0.989868810317247,p.u.
0.65,S4_High_Dist,High/Distributed,400,daily_vmax,1.059999998088,4.19055681681599e-11,1.05999999800613,1.05999999817228,p.u.
0.65,S4_High_Dist,High/Distributed,400,daily_vviol_hours,520.5675,1.91382665013541,516.615,524.15,bus-hours/day
0.65,S4_High_Dist,High/Distributed,400,curtailment_trajectory_probability,0,0,0,0,%
0.7,S1_Low_Conc,Low/Concentrated,400,daily_cost,1121592.96721413,1253.13236096878,1119127.3582535,1123866.12780411,currency/day
0.7,S1_Low_Conc,Low/Concentrated,400,daily_loss_MWh,1304.56150370452,1.13205263536554,1302.27100331734,1306.87007000395,MWh/day
0.7,S1_Low_Conc,Low/Concentrated,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.7,S1_Low_Conc,Low/Concentrated,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.7,S1_Low_Conc,Low/Concentrated,400,daily_vmin,0.990836676967824,2.93410752491424e-05,0.990782235833049,0.99090352163847,p.u.
0.7,S1_Low_Conc,Low/Concentrated,400,daily_vmax,1.05999999861677,3.83425971031979e-11,1.05999999854059,1.0599999986926,p.u.
0.7,S1_Low_Conc,Low/Concentrated,400,daily_vviol_hours,581.62,0.632375093609824,580.39,582.7875,bus-hours/day
0.7,S1_Low_Conc,Low/Concentrated,400,curtailment_trajectory_probability,0,0,0,0,%
0.7,S2_High_Conc,High/Concentrated,400,daily_cost,1077416.87561831,2387.14417571712,1072978.70661762,1082450.75499716,currency/day
0.7,S2_High_Conc,High/Concentrated,400,daily_loss_MWh,1362.66167430008,3.29883675684656,1356.5928015852,1369.10764750813,MWh/day
0.7,S2_High_Conc,High/Concentrated,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
