trajectory,successful_hours,solve_time_s,daily_cost,daily_loss_MWh,solar_curt_MWh,wind_curt_MWh,max_solar_curt_MW,max_wind_curt_MW,curtailed_hours
1749,24,9.9818152,1125330.82648038,1304.41152811833,0,0,0,0,0
1750,24,10.7497215,1101089.58950207,1265.76400892366,0,0,0,0,0
1751,24,9.8913544,1139996.52530175,1315.08645565907,0,0,0,0,0
1752,24,10.1692039,1093649.91537459,1270.08646886326,0,0,0,0,0
1753,24,9.7911175,1105535.21205161,1277.20031753208,0,0,0,0,0
1754,24,9.7353957,1136084.70347927,1306.90787192476,0,0,0,0,0
1755,24,9.857154,1135704.38036832,1309.7728143518,0,0,0,0,0
1756,24,9.5897436,1119218.85879562,1290.62538700234,0,0,0,0,0
1757,24,9.7136557,1121848.21548871,1288.4910305121,0,0,0,0,0
1758,24,9.6506405,1121952.23471209,1292.03761288376,0,0,0,0,0
1759,24,9.7733789,1134609.53121079,1307.73366664831,0,0,0,0,0
1760,24,10.0615674,1125717.02036594,1304.01702986252,0,0,0,0,0
1761,24,9.7623292,1120749.96713422,1288.99496114891,0,0,0,0,0
1762,24,9.6248354,1124602.60505119,1290.52926888916,0,0,0,0,0
1763,24,9.9161439,1097539.33679843,1258.91771590827,0,0,0,0,0
1764,24,9.7468752,1125583.390848,1291.69029712233,0,0,0,0,0
1765,24,9.9149229,1131512.5992773,1305.70731952652,0,0,0,0,0
1766,24,9.8930221,1107268.54445569,1273.98696799518,0,0,0,0,0
1767,24,9.8048999,1131381.67443444,1300.61723619343,0,0,0,0,0
1768,24,9.6838314,1107533.30674873,1267.48585036576,0,0,0,0,0
1769,24,9.8846392,1088168.47083766,1268.92665638083,0,0,0,0,0
1770,24,9.5575375,1138426.52899962,1314.92631092275,0,0,0,0,0
1771,24,9.6695954,1146431.36831791,1319.41012323143,0,0,0,0,0
1772,24,9.5445161,1141837.76351058,1316.74015961047,0,0,0,0,0
1773,24,9.6444428,1133118.98815013,1309.9485951123,0,0,0,0,0
1774,24,9.6019263,1112741.19629195,1279.66937895333,0,0,0,0,0
1775,24,9.7509141,1126361.5112974,1296.8392025701,0,0,0,0,0
1776,24,9.6666361,1136150.97807314,1306.91372325216,0,0,0,0,0
1777,24,9.7985939,1111778.16875293,1282.03421455619,0,0,0,0,0
1778,24,9.7391298,1104714.6559675,1273.01508546538,0,0,0,0,0
1779,24,9.8031673,1126382.03595967,1293.689976682,0,0,0,0,0
1780,24,9.7659597,1125001.06070531,1294.3780411761,0,0,0,0,0
1781,24,9.5890686,1142196.66905399,1317.34484837921,0,0,0,0,0
1782,24,9.7855078,1112103.84702141,1277.88397280344,0,0,0,0,0
1783,24,9.842863,1106848.16383612,1292.28900437856,0,0,0,0,0
1784,24,9.6264814,1128603.92024532,1298.10486734313,0,0,0,0,0
1785,24,9.9715315,1097331.85582577,1273.22094375887,0,0,0,0,0
1786,24,9.8415458,1130250.11093181,1306.85963801695,0,0,0,0,0
1787,24,9.7378127,1097609.1575348,1271.08942022434,0,0,0,0,0
1788,24,9.5429284,1128974.83543896,1301.05688432641,0,0,0,0,0
1789,24,9.9199574,1131636.06240198,1301.81620234071,0,0,0,0,0
1790,24,9.6062663,1114244.44894732,1287.12681171892,0,0,0,0,0
1791,24,9.5722364,1095842.75508668,1262.32829928144,0,0,0,0,0
1792,24,9.7281675,1126875.2171754,1298.9813934424,0,0,0,0,0
1793,24,9.7105656,1125991.41377077,1292.89518130503,0,0,0,0,0
1794,24,9.5697418,1114594.65695895,1290.06065164569,0,0,0,0,0
1795,24,9.7853791,1105477.1775277,1272.78166314553,0,0,0,0,0
1796,24,9.8983004,1138269.26027424,1312.32882578732,0,0,0,0,0
1797,24,9.7518708,1131817.68344514,1303.9814100879,0,0,0,0,0
1798,24,9.6591734,1146302.84963341,1321.6633085988,0,0,0,0,0
1799,24,9.5428873,1130015.86297753,1308.73151483152,0,0,0,0,0
1800,24,9.7558835,1135397.85467325,1305.29987411532,0,0,0,0,0
1801,24,9.6602014,1123732.87169616,1291.60010016368,0,0,0,0,0
1802,24,9.8868091,1136374.23668418,1310.20307709588,0,0,0,0,0
1803,24,9.7639103,1104612.31084776,1278.9990784354,0,0,0,0,0
1804,24,9.7330656,1115519.29631964,1284.02188552357,0,0,0,0,0
1805,24,10.0352592,1141021.99087694,1315.59037159313,0,0,0,0,0
1806,24,9.7718532,1141925.35753601,1316.10168203687,0,0,0,0,0
1807,24,9.6853507,1128696.76757206,1298.90306861127,0,0,0,0,0
1808,24,9.6932727,1083735.441326,1252.41496912265,0,0,0,0,0
1809,24,9.7501369,1127808.09460069,1297.75162219594,0,0,0,0,0
