N_requested,N_valid,scenario,scenario_label,metric,estimate,bootstrap_se,ci_low,ci_high,unit
200,200,S1_Low_Conc,Low/Concentrated,curtailed_hours,0,0,0,0,h/day
200,200,S1_Low_Conc,Low/Concentrated,trajectory_curt_prob_pct,0,0,0,0,%
200,200,S2_High_Conc,High/Concentrated,daily_cost,1082155.22812995,3714.10600732643,1073794.13962081,1088740.34359665,currency/day
200,200,S2_High_Conc,High/Concentrated,daily_loss_MWh,1364.45184759013,4.4476960660007,1355.59124415824,1372.91523886075,MWh/day
200,200,S2_High_Conc,High/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
200,200,S2_High_Conc,High/Concentrated,wind_curt_MWh,0.189955116264538,0.18723934785516,0,0.569865348793613,MWh/day
200,200,S2_High_Conc,High/Concentrated,curtailed_hours,0.02,0.0194393386689951,0,0.06,h/day
200,200,S2_High_Conc,High/Concentrated,trajectory_curt_prob_pct,0.5,0.502963937795467,0,1.5,%
200,200,S3_Low_Dist,Low/Distributed,daily_cost,1125300.0840771,1408.54112271958,1122565.48244366,1128108.69460008,currency/day
200,200,S3_Low_Dist,Low/Distributed,daily_loss_MWh,1300.35367671319,1.29267391570802,1297.74355461497,1302.88357180768,MWh/day
200,200,S3_Low_Dist,Low/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
200,200,S3_Low_Dist,Low/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
200,200,S3_Low_Dist,Low/Distributed,curtailed_hours,0,0,0,0,h/day
200,200,S3_Low_Dist,Low/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
200,200,S4_High_Dist,High/Distributed,daily_cost,1083246.13188603,2805.45630649073,1077704.3177474,1088934.03104457,currency/day
200,200,S4_High_Dist,High/Distributed,daily_loss_MWh,1299.17327408042,1.64982933845208,1295.96647246071,1302.45495334043,MWh/day
200,200,S4_High_Dist,High/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
200,200,S4_High_Dist,High/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
200,200,S4_High_Dist,High/Distributed,curtailed_hours,0,0,0,0,h/day
200,200,S4_High_Dist,High/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
400,400,S1_Low_Conc,Low/Concentrated,daily_cost,1124053.77001376,1258.23064076018,1121419.99656798,1126408.96015836,currency/day
400,400,S1_Low_Conc,Low/Concentrated,daily_loss_MWh,1306.79552634878,1.020975577599,1304.75198224767,1308.77941223459,MWh/day
400,400,S1_Low_Conc,Low/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
400,400,S1_Low_Conc,Low/Concentrated,wind_curt_MWh,0,0,0,0,MWh/day
400,400,S1_Low_Conc,Low/Concentrated,curtailed_hours,0,0,0,0,h/day
400,400,S1_Low_Conc,Low/Concentrated,trajectory_curt_prob_pct,0,0,0,0,%
400,400,S2_High_Conc,High/Concentrated,daily_cost,1082157.90802583,2480.18881321201,1077214.76220547,1087044.10139958,currency/day
400,400,S2_High_Conc,High/Concentrated,daily_loss_MWh,1361.88121155882,2.8698537076044,1356.11481313841,1367.60555014378,MWh/day
400,400,S2_High_Conc,High/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
400,400,S2_High_Conc,High/Concentrated,wind_curt_MWh,0.098109091419509,0.0961447507874137,0,0.294327274258527,MWh/day
400,400,S2_High_Conc,High/Concentrated,curtailed_hours,0.0125,0.0101379856852214,0,0.035,h/day
400,400,S2_High_Conc,High/Concentrated,trajectory_curt_prob_pct,0.5,0.360518687065905,0,1.25,%
400,400,S3_Low_Dist,Low/Distributed,daily_cost,1123965.8454708,1023.62813084768,1121859.08636985,1125963.49228732,currency/day
400,400,S3_Low_Dist,Low/Distributed,daily_loss_MWh,1298.86862525952,0.966587839835524,1296.95989457379,1300.78891337282,MWh/day
400,400,S3_Low_Dist,Low/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
400,400,S3_Low_Dist,Low/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
400,400,S3_Low_Dist,Low/Distributed,curtailed_hours,0,0,0,0,h/day
400,400,S3_Low_Dist,Low/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
400,400,S4_High_Dist,High/Distributed,daily_cost,1080637.45114775,2048.44738071372,1076366.33559683,1084521.74965973,currency/day
400,400,S4_High_Dist,High/Distributed,daily_loss_MWh,1298.10509118207,1.2681601258726,1295.68865517951,1300.7390354733,MWh/day
400,400,S4_High_Dist,High/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
400,400,S4_High_Dist,High/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
400,400,S4_High_Dist,High/Distributed,curtailed_hours,0,0,0,0,h/day
400,400,S4_High_Dist,High/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
800,800,S1_Low_Conc,Low/Concentrated,daily_cost,1122227.09082816,913.982572610952,1120440.97240022,1124055.08593859,currency/day
800,800,S1_Low_Conc,Low/Concentrated,daily_loss_MWh,1305.64258144206,0.772407654713875,1304.10406495142,1307.05969934805,MWh/day
800,800,S1_Low_Conc,Low/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
800,800,S1_Low_Conc,Low/Concentrated,wind_curt_MWh,0,0,0,0,MWh/day
800,800,S1_Low_Conc,Low/Concentrated,curtailed_hours,0,0,0,0,h/day
800,800,S1_Low_Conc,Low/Concentrated,trajectory_curt_prob_pct,0,0,0,0,%
800,800,S2_High_Conc,High/Concentrated,daily_cost,1078635.99110305,1755.33048707826,1075213.45069406,1082217.84372195,currency/day
800,800,S2_High_Conc,High/Concentrated,daily_loss_MWh,1364.07254159165,2.11396939849784,1359.81121363151,1368.11857683704,MWh/day
800,800,S2_High_Conc,High/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
800,800,S2_High_Conc,High/Concentrated,wind_curt_MWh,0.0928402604326656,0.0535103681622305,0.0105674142944655,0.209588688275963,MWh/day
800,800,S2_High_Conc,High/Concentrated,curtailed_hours,0.0125,0.00613096339490375,0.0025,0.02625,h/day
800,800,S2_High_Conc,High/Concentrated,trajectory_curt_prob_pct,0.75,0.315805986201847,0.25,1.375,%
800,800,S3_Low_Dist,Low/Distributed,daily_cost,1123568.70726935,697.262318487675,1122196.16806469,1124889.68590725,currency/day
800,800,S3_Low_Dist,Low/Distributed,daily_loss_MWh,1298.28943584297,0.664115712688404,1296.99132067026,1299.54428116049,MWh/day
