N_requested,N_valid_pairs,contrast,contrast_label,metric,estimate_A_minus_B,bootstrap_se,ci_low,ci_high,unit
100,100,S4_minus_S3,Distributed: high minus low penetration,daily_loss_MWh,-0.646657675470401,1.88688924685655,-4.32014141044339,3.14572091539659,MWh/day
100,100,S4_minus_S3,Distributed: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
100,100,S4_minus_S3,Distributed: high minus low penetration,daily_wind_curt_MWh,0,0,0,0,MWh/day
100,100,S4_minus_S3,Distributed: high minus low penetration,curtailed_hours,0,0,0,0,h/day
100,100,S4_minus_S3,Distributed: high minus low penetration,LCP80_interaction_branch_pp,3.375,0.479129600994918,2.47916666666667,4.25,percentage points
200,200,S1_minus_S3,Low penetration: concentrated minus distributed,daily_cost,-1273.99996074451,1143.05196406106,-3460.51258145804,941.84070968734,currency/day
200,200,S1_minus_S3,Low penetration: concentrated minus distributed,daily_loss_MWh,7.09307368210558,1.29337273022379,4.573964211228,9.57682880303785,MWh/day
200,200,S1_minus_S3,Low penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
200,200,S1_minus_S3,Low penetration: concentrated minus distributed,daily_wind_curt_MWh,0,0,0,0,MWh/day
200,200,S1_minus_S3,Low penetration: concentrated minus distributed,curtailed_hours,0,0,0,0,h/day
200,200,S1_minus_S3,Low penetration: concentrated minus distributed,LCP80_interaction_branch_pp,2.6875,0.554084167318293,1.61458333333333,3.82291666666667,percentage points
200,200,S2_minus_S4,High penetration: concentrated minus distributed,daily_cost,-1090.9037560803,2323.76194090734,-5711.04936329392,3469.59460237475,currency/day
200,200,S2_minus_S4,High penetration: concentrated minus distributed,daily_loss_MWh,65.2785735097088,4.30189603756003,56.6852803581854,73.5688149950802,MWh/day
200,200,S2_minus_S4,High penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
200,200,S2_minus_S4,High penetration: concentrated minus distributed,daily_wind_curt_MWh,0.189955116264538,0.192075193907157,0,0.569865348793613,MWh/day
200,200,S2_minus_S4,High penetration: concentrated minus distributed,curtailed_hours,0.02,0.0195332831123995,0,0.06,h/day
200,200,S2_minus_S4,High penetration: concentrated minus distributed,LCP80_interaction_branch_pp,4.02083333333333,0.914225840979896,2.4375,5.97916666666667,percentage points
200,200,S2_minus_S1,Concentrated: high minus low penetration,daily_cost,-41870.8559864037,1627.91060314324,-45068.1350132119,-38681.4365522791,currency/day
200,200,S2_minus_S1,Concentrated: high minus low penetration,daily_loss_MWh,57.0050971948381,4.49093559331653,48.1109458805466,66.4445968042531,MWh/day
200,200,S2_minus_S1,Concentrated: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
200,200,S2_minus_S1,Concentrated: high minus low penetration,daily_wind_curt_MWh,0.189955116264538,0.192577655071091,0,0.759820465058151,MWh/day
200,200,S2_minus_S1,Concentrated: high minus low penetration,curtailed_hours,0.02,0.0201097688401136,0,0.06,h/day
200,200,S2_minus_S1,Concentrated: high minus low penetration,LCP80_interaction_branch_pp,5.125,0.622897280340177,3.875,6.3125,percentage points
200,200,S4_minus_S3,Distributed: high minus low penetration,daily_cost,-42053.9521910679,1327.12070705645,-44671.9658926424,-39455.3392662363,currency/day
200,200,S4_minus_S3,Distributed: high minus low penetration,daily_loss_MWh,-1.18040263276513,1.38740841852484,-3.68823982274675,1.72101695907728,MWh/day
200,200,S4_minus_S3,Distributed: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
200,200,S4_minus_S3,Distributed: high minus low penetration,daily_wind_curt_MWh,0,0,0,0,MWh/day
200,200,S4_minus_S3,Distributed: high minus low penetration,curtailed_hours,0,0,0,0,h/day
200,200,S4_minus_S3,Distributed: high minus low penetration,LCP80_interaction_branch_pp,3.79166666666667,0.371231256738051,3.0625,4.54166666666667,percentage points
400,400,S1_minus_S3,Low penetration: concentrated minus distributed,daily_cost,87.9245429625237,884.611989722152,-1636.78008186688,1793.30715701155,currency/day
400,400,S1_minus_S3,Low penetration: concentrated minus distributed,daily_loss_MWh,7.9269010892666,0.90581432523243,6.12312014949407,9.68185976318815,MWh/day
400,400,S1_minus_S3,Low penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
400,400,S1_minus_S3,Low penetration: concentrated minus distributed,daily_wind_curt_MWh,0,0,0,0,MWh/day
400,400,S1_minus_S3,Low penetration: concentrated minus distributed,curtailed_hours,0,0,0,0,h/day
400,400,S1_minus_S3,Low penetration: concentrated minus distributed,LCP80_interaction_branch_pp,2.54166666666667,0.395782923905889,1.81770833333333,3.359375,percentage points
400,400,S2_minus_S4,High penetration: concentrated minus distributed,daily_cost,1520.4568780847,1629.86251020258,-1893.41230784006,4571.57188371584,currency/day
400,400,S2_minus_S4,High penetration: concentrated minus distributed,daily_loss_MWh,63.7761203767509,2.77377208534451,58.5033401868617,69.2435186665366,MWh/day
400,400,S2_minus_S4,High penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
400,400,S2_minus_S4,High penetration: concentrated minus distributed,daily_wind_curt_MWh,0.098109091419509,0.0936292185777377,0,0.292761507614907,MWh/day
400,400,S2_minus_S4,High penetration: concentrated minus distributed,curtailed_hours,0.0125,0.0101459910745518,0,0.035,h/day
400,400,S2_minus_S4,High penetration: concentrated minus distributed,LCP80_interaction_branch_pp,3.34375,0.673399761532267,2.03645833333333,4.67708333333333,percentage points
400,400,S2_minus_S1,Concentrated: high minus low penetration,daily_cost,-41895.8619879319,1170.33078966512,-44112.5992979381,-39570.0540077605,currency/day
400,400,S2_minus_S1,Concentrated: high minus low penetration,daily_loss_MWh,55.0856852100343,2.88693719020873,49.5092399556266,60.5989850324351,MWh/day
400,400,S2_minus_S1,Concentrated: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
400,400,S2_minus_S1,Concentrated: high minus low penetration,daily_wind_curt_MWh,0.098109091419509,0.0928357787860617,0,0.291195740971287,MWh/day
400,400,S2_minus_S1,Concentrated: high minus low penetration,curtailed_hours,0.0125,0.0106332619647035,0,0.04,h/day
400,400,S2_minus_S1,Concentrated: high minus low penetration,LCP80_interaction_branch_pp,4.84375,0.402664167017814,4.07291666666667,5.640625,percentage points
400,400,S4_minus_S3,Distributed: high minus low penetration,daily_cost,-43328.394323054,971.334379523701,-45360.7203169635,-41508.1942288072,currency/day
400,400,S4_minus_S3,Distributed: high minus low penetration,daily_loss_MWh,-0.763534077449953,0.985594034956171,-2.74046754635668,1.148432592788,MWh/day
400,400,S4_minus_S3,Distributed: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
400,400,S4_minus_S3,Distributed: high minus low penetration,daily_wind_curt_MWh,0,0,0,0,MWh/day
400,400,S4_minus_S3,Distributed: high minus low penetration,curtailed_hours,0,0,0,0,h/day
400,400,S4_minus_S3,Distributed: high minus low penetration,LCP80_interaction_branch_pp,4.04166666666667,0.282905920067848,3.47916666666667,4.578125,percentage points
800,800,S1_minus_S3,Low penetration: concentrated minus distributed,daily_cost,-1341.61644119541,606.821708005945,-2551.27530679636,-165.128742732638,currency/day
800,800,S1_minus_S3,Low penetration: concentrated minus distributed,daily_loss_MWh,7.35314559909023,0.655735694617582,6.0772388151063,8.5860355148676,MWh/day
800,800,S1_minus_S3,Low penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
800,800,S1_minus_S3,Low penetration: concentrated minus distributed,daily_wind_curt_MWh,0,0,0,0,MWh/day
800,800,S1_minus_S3,Low penetration: concentrated minus distributed,curtailed_hours,0,0,0,0,h/day
800,800,S1_minus_S3,Low penetration: concentrated minus distributed,LCP80_interaction_branch_pp,3.02604166666667,0.304223160377877,2.453125,3.63802083333333,percentage points
800,800,S2_minus_S4,High penetration: concentrated minus distributed,daily_cost,-1216.65581278454,1183.53143258016,-3538.43228730013,982.375160926539,currency/day
800,800,S2_minus_S4,High penetration: concentrated minus distributed,daily_loss_MWh,66.769117048288,2.057762859985,62.8657261105586,70.9134679065843,MWh/day
800,800,S2_minus_S4,High penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
800,800,S2_minus_S4,High penetration: concentrated minus distributed,daily_wind_curt_MWh,0.0928402604326656,0.0541228958662616,0.0126054441826186,0.225961706867919,MWh/day
800,800,S2_minus_S4,High penetration: concentrated minus distributed,curtailed_hours,0.0125,0.00609566387324265,0.0025,0.02625,h/day
800,800,S2_minus_S4,High penetration: concentrated minus distributed,LCP80_interaction_branch_pp,4.03125,0.466689652140022,3.1171875,4.91666666666667,percentage points
800,800,S2_minus_S1,Concentrated: high minus low penetration,daily_cost,-43591.0997251112,829.811422264019,-45173.7956579528,-42000.1576911189,currency/day
800,800,S2_minus_S1,Concentrated: high minus low penetration,daily_loss_MWh,58.4299601495855,2.13236227965424,54.4144856978525,62.5594813601697,MWh/day
800,800,S2_minus_S1,Concentrated: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
800,800,S2_minus_S1,Concentrated: high minus low penetration,daily_wind_curt_MWh,0.0928402604326656,0.0541759189986961,0.0105674142944655,0.221990623871342,MWh/day
800,800,S2_minus_S1,Concentrated: high minus low penetration,curtailed_hours,0.0125,0.00628580323107236,0.0025,0.02625,h/day
800,800,S2_minus_S1,Concentrated: high minus low penetration,LCP80_interaction_branch_pp,4.8125,0.268032957524064,4.29947916666667,5.3359375,percentage points
800,800,S4_minus_S3,Distributed: high minus low penetration,daily_cost,-43716.060353522,674.875682020301,-45093.2829120551,-42401.6126491509,currency/day
800,800,S4_minus_S3,Distributed: high minus low penetration,daily_loss_MWh,-0.986011299612219,0.671439174505632,-2.24883217084261,0.309928745071189,MWh/day
800,800,S4_minus_S3,Distributed: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
800,800,S4_minus_S3,Distributed: high minus low penetration,daily_wind_curt_MWh,0,0,0,0,MWh/day
800,800,S4_minus_S3,Distributed: high minus low penetration,curtailed_hours,0,0,0,0,h/day
800,800,S4_minus_S3,Distributed: high minus low penetration,LCP80_interaction_branch_pp,3.80729166666667,0.197538664894483,3.42447916666667,4.21614583333333,percentage points
1200,1200,S1_minus_S3,Low penetration: concentrated minus distributed,daily_cost,-1083.9498578031,516.149111620407,-2156.48395504524,-73.7607197840227,currency/day
1200,1200,S1_minus_S3,Low penetration: concentrated minus distributed,daily_loss_MWh,7.88181552114071,0.547623050239067,6.88368023219874,8.96105372311592,MWh/day
1200,1200,S1_minus_S3,Low penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
1200,1200,S1_minus_S3,Low penetration: concentrated minus distributed,daily_wind_curt_MWh,0,0,0,0,MWh/day
1200,1200,S1_minus_S3,Low penetration: concentrated minus distributed,curtailed_hours,0,0,0,0,h/day
1200,1200,S1_minus_S3,Low penetration: concentrated minus distributed,LCP80_interaction_branch_pp,2.77777777777778,0.233370317620953,2.30902777777778,3.22916666666667,percentage points
1200,1200,S2_minus_S4,High penetration: concentrated minus distributed,daily_cost,-668.287376855681,951.920283036823,-2591.50179222679,1190.26890328212,currency/day
1200,1200,S2_minus_S4,High penetration: concentrated minus distributed,daily_loss_MWh,68.131034259553,1.66951573332642,64.9690918031249,71.3045905910411,MWh/day
