zone,same_zone_solar_wind_corr
Z1_NW,-0.2099202780273441
Z2_NE,-0.251062254834457
Z3_CW,-0.15761807866150498
Z4_CI,-0.19494859540155676
Z5_SW,-0.03646593916238387
Z6_SE,-0.22352123120563253
