zone,latitude_requested,longitude_requested,latitude_era5,longitude_era5,n_samples,k_weibull,c_weibull_ms,mean_speed_ms,std_speed_ms,rho_ar1,KS_stat,KS_pvalue
Z1_NW,41.15,-8.6,41.25,-8.5,17544,1.8806816277565084,5.48106755175724,4.802634201195376,2.7462327972329206,0.9698064283805663,0.018218701072434618,1.9625303063097983e-05
Z2_NE,41.5,-6.75,41.5,-6.75,17544,1.8948611633441428,4.883097815338138,4.268069737986863,2.4263545674180547,0.9709660558077542,0.019114248096323172,6.39794375905888e-06
Z3_CW,40.2,-8.4,40.25,-8.5,17544,2.042060042811552,5.431060515527182,4.768796858069012,2.502844338104363,0.9668795180459222,0.014312234312863548,0.0015844462356899057
Z4_CI,39.75,-7.5,39.75,-7.5,17544,2.0356932000200927,5.0810008738050865,4.448771436470682,2.3566544855003304,0.9688825897065487,0.010449722332099676,0.04487505660322233
Z5_SW,37.95,-8.65,38.0,-8.75,17544,2.329695239803451,6.877370562113007,6.073244508371356,2.793921011430383,0.9722178033089443,0.01085768742563098,0.03218447168244376
Z6_SE,38.05,-7.4,38.0,-7.5,17544,2.3373243666581907,5.27193720891187,4.636913647874765,2.1476265783482638,0.9600531372727228,0.020852580430637646,5.28029610465911e-07
