zone,Z1_NW,Z2_NE,Z3_CW,Z4_CI,Z5_SW,Z6_SE
Z1_NW,1.0,0.6391956010754449,0.8190337681344723,0.6094019259201222,0.4375604383520381,0.3660719398706608
Z2_NE,0.6391956010754449,1.0,0.5903611350725929,0.720283743440869,0.42410956174554415,0.47280543826323473
Z3_CW,0.8190337681344723,0.5903611350725929,1.0,0.6682740456590126,0.6346547024556356,0.4966834823863194
Z4_CI,0.6094019259201222,0.720283743440869,0.6682740456590126,1.0,0.5668074800751807,0.6260970461893036
Z5_SW,0.4375604383520382,0.42410956174554415,0.6346547024556357,0.5668074800751807,1.0,0.7256526912703191
Z6_SE,0.3660719398706608,0.47280543826323473,0.4966834823863193,0.6260970461893036,0.7256526912703191,1.0
